,Time,Color,Move,Black,White
0, 0.013, X ,"(E, 3)",4,1
1, 0.014, O ,"(D, 3)",3,3
2, 0.019, X ,"(C, 2)",5,2
3, 0.021, O ,"(D, 2)",4,4
4, 0.035, X ,"(C, 1)",6,3
5, 0.033, O ,"(D, 1)",5,5
6, 0.041, X ,"(E, 1)",7,4
7, 0.042, O ,"(F, 2)",6,6
8, 0.051, X ,"(C, 4)",8,5
9, 0.072, O ,"(B, 3)",7,7
10, 0.090, X ,"(C, 3)",9,6
11, 0.046, O ,"(F, 3)",8,8
12, 0.067, X ,"(A, 3)",10,7
13, 0.034, O ,"(C, 5)",9,9
14, 0.060, X ,"(F, 4)",11,8
15, 0.068, O ,"(E, 6)",10,10
16, 0.082, X ,"(F, 5)",13,8
17, 0.108, O ,"(G, 5)",12,10
18, 0.127, X ,"(G, 3)",15,8
19, 0.071, O ,"(G, 4)",13,11
20, 0.058, X ,"(B, 5)",15,10
21, 0.064, O ,"(B, 4)",14,12
22, 0.067, X ,"(A, 5)",16,11
23, 0.069, O ,"(A, 4)",15,13
24, 0.074, X ,"(B, 6)",18,11
25, 0.076, O ,"(D, 6)",17,13
26, 0.090, X ,"(H, 4)",21,10
27, 0.086, O ,"(H, 3)",20,12
28, 0.095, X ,"(H, 6)",22,11
29, 0.101, O ,"(G, 6)",21,13
30, 0.094, X ,"(C, 6)",25,10
31, 0.063, O ,"(H, 5)",24,12
32, 0.055, X ,"(C, 7)",27,10
33, 0.057, O ,"(D, 7)",25,13
34, 0.069, X ,"(A, 6)",27,12
35, 0.073, O ,"(E, 7)",25,15
36, 0.065, X ,"(D, 8)",28,13
37, 0.065, O ,"(E, 8)",27,15
38, 0.053, X ,"(F, 7)",31,12
39, 0.054, O ,"(F, 6)",29,15
40, 0.049, X ,"(F, 8)",31,14
41, 0.047, O ,"(C, 8)",29,17
42, 0.017, X ,"(H, 2)",33,14
43, 0.046, O ,"(B, 2)",29,19
44, 0.045, X ,"(B, 8)",34,15
45, 0.291, O ,"(E, 2)",28,22
46, 0.023, X ,"(F, 1)",30,21
47, 0.500, O ,"(G, 7)",28,24
48, 0.023, X ,"(G, 2)",31,22
49, 0.084, O ,"(H, 1)",27,27
50, 0.015, X ,"(G, 1)",29,26
51, 0.071, O ,"(B, 1)",24,32
52, 0.009, X ,"(B, 7)",29,28
53, 0.024, O ,"(H, 7)",24,34
54, 0.003, X ,"(G, 8)",31,28
55, 0.008, O ,"(H, 8)",30,30
56, 0.001, X ,"(A, 2)",35,26
57, 0.001, O ,"(A, 8)",23,39
58, 0.000, X ,"(A, 7)",25,38
59, 0.000, O ,"(A, 1)",22,42
